Cristiano Ronaldo
James Rodríguez
Diego Costa
Ederson
Bernardo Silva
Ángel Di María
Gonçalo Guedes
João Cancelo
Nicolás Otamendi
Nélson Semedo
Faouzi Ghoulam
André Silva
Rúben Dias
Pizzi
Renato Sanches
Rui Patrício
André Gomes
Rúben Neves
Andre Gray
Ezequiel Garay
Diogo Jota
Falcao
Hélder Costa
João Moutinho
Carlos Vela
Ivan Cavaleiro
Miranda
Wallace
Nélson Oliveira
Fábio Coentrão
Anwar El Ghazi
Nikola Vukcevic
Daniel Podence
Sidnei
Gil Dias
Roderick Miranda
Miguel Veloso
Joel Tagueu
José Sá
João Carvalho
Diogo Gonçalves
Pepe
Ricardo Quaresma
Ahmed Hassan
Burgui
João Gamboa
Bebé
Filipe Augusto
Tiago Ferreira
André Moreira
João Teixeira
Vítor Gomes
Bruno Gama
Danny
Alípio
Gabrielzinho
André Geraldes
Bruno Alves
Jota
Nadjack
Ricardo Carvalho
Tiago Sá
Djavan Anderson
Reko
Ença Fati
Thabo Cele
Mitchell van Rooijen
Ronan
Guga
Walter Patrick
Mário Sérgio
Tomás Reymão
Jorge Ribeiro
Rafa
Tiago Alves
Fabiano Rossato
Migas
Enkelejd Cankja
Diogo Brás
Gonçalo Loureiro
Bernardo Sousa
André Martins
